"aus:vic:vic-01-ABY:","Seymour","Albury - Melbourne Via Seymour"
"17-284-aus-1","284","Doncaster Park & Ride - Box Hill Station"
"17-285-aus-1","285","Camberwell SC - Doncaster Park & Ride"
"17-293-aus-1","293","Greensborough - Box Hill Station"
"17-302-aus-1","302","Box Hill Station - City (King/Lonsdale St)"
"17-304-aus-1","304","Doncaster SC - City (King/Lonsdale St)"
"17-305-aus-1","305","The Pines SC - City (King/Lonsdale Sts)"
"17-309-aus-1","309","The Pines SC - City (Queen St)"
"17-350-aus-1","350","La Trobe University - City (Queen St)"
"17-510-aus-1","510","Ivanhoe Station - Essendon Station"
"17-512-aus-1","512","East Coburg - Strathmore Station"
"17-903-aus-1","903","Mordialloc - Altona"
"17-905-aus-1","905","The Pines SC - City (King/Lonsdale Sts)"
"17-906-aus-1","906","Warrandyte - City (King/Lonsdale Sts)"
"17-907-aus-1","907","Mitcham - City (King/Lonsdale Sts)"
"17-908-aus-1","908","The Pines SC - City (King/Lonsdale Sts)"
"18-901-aus-1","901","Frankston - Melbourne Airport"
"18-902-aus-1","902","Chelsea Railway Station - Airport West SC"
"18-903-aus-1","903","Mordialloc - Altona"
"19-663-aus-1","663","Belgrave - Lilydale"
"19-664-aus-1","664","Chirnside Park SC - Knox City SC"
"19-670-aus-1","670","Lilydale - Ringwood"
"19-671-aus-1","671","Chirnside Park SC - Croydon"
"19-672-aus-1","672","Chirnside Park SC - Croydon"
"19-675-aus-1","675","Chirnside Park SC - Mooroolbark"
"19-677-aus-1","677","Chirnside Park SC - Lilydale"
"19-679-aus-1","679","Chirnside Park SC - Ringwood"
"19-680-aus-1","680","Mooroolbark - Lilydale"
"19-688-aus-1","688","Upper Ferntree Gully - Croydon"
"19-689-aus-1","689","Montrose - Croydon Station"
"19-690-aus-1","690","Boronia - Croydon"
"19-691-aus-1","691","Boronia - Waverley Gardens SC"
"19-693-aus-1","693","Belgrave - Oakleigh"
"19-695-aus-1","695","Gembrook - Belgrave"
"19-697-aus-1","697","Belgrave South - Belgrave"
"19-699-aus-1","699","Upwey - Belgrave"
"19-732-aus-1","732","Upper Ferntree Gully - Box Hill Station"
"19-735-aus-1","735","Nunawading - Box Hill Station"
"19-736-aus-1","736","Blackburn - Mitcham"
"19-737-aus-1","737","Monash University - Croydon"
"19-738-aus-1","738","Knox City - Mitcham"
"19-740-aus-1","740","Vermont East - Mitcham"
"19-742-aus-1","742","Chadstone SC - Ringwood"
"19-753-aus-1","753","Bayswater - Glen Waverley"
"19-754-aus-1","754","Glen Waverley - Rowville"
"19-755-aus-1","755","Knox City SC - Bayswater"
"19-765-aus-1","765","Box Hill - Mitcham"
"20-701-aus-1","701","Bentleigh - Oakleigh"
"20-703-aus-1","703","Blackburn - Middle Brighton"
"20-704-aus-1","704","Westall Station - Oakleigh Station"
"20-706-aus-1","706","Chelsea Railway Station - Mordialloc Shopping Centre"
"20-733-aus-1","733","Box Hill - Oakleigh"
"20-766-aus-1","766","Box Hill Station - Burwood"
"20-767-aus-1","767","Box Hill Station - Southland SC"
"20-900-aus-1","900","Stud Park SC (Rowville) - Caulfield"
"21-201-aus-1","201","Box Hill Station - Deakin University"
"21-663-aus-1","663","Belgrave - Lilydale"
"21-664-aus-1","664","Chirnside Park SC - Knox City SC"
"21-670-aus-1","670","Lilydale - Ringwood"
"21-671-aus-1","671","Chirnside Park SC - Croydon"
"21-672-aus-1","672","Chirnside Park SC - Croydon"
"21-677-aus-1","677","Chirnside Park SC - Lilydale"
"21-679-aus-1","679","Chirnside Park SC - Ringwood"
"21-681-aus-1","681","Belgrave - Lilydale"
"21-682-aus-1","682","Carrum Station - Hampton Station"
"21-688-aus-1","688","Upper Ferntree Gully - Croydon"
"21-689-aus-1","689","Montrose - Croydon Station"
"21-690-aus-1","690","Boronia - Croydon"
"21-691-aus-1","691","Boronia - Waverley Gardens SC"
"21-693-aus-1","693","Belgrave - Oakleigh"
"21-694-aus-1","694","Mount Dandenong - Belgrave"
"21-695-aus-1","695","Gembrook - Belgrave"
"21-695-F-aus-1","695F","Fountain Gate - Gembrook"
"21-697-aus-1","697","Belgrave South - Belgrave"
"21-699-aus-1","699","Upwey - Belgrave"
"21-732-aus-1","732","Upper Ferntree Gully - Box Hill Station"
"21-734-aus-1","734","Glen Waverley - Glen Iris"
"21-735-aus-1","735","Nunawading - Box Hill Station"
"21-736-aus-1","736","Blackburn - Mitcham"
"21-737-aus-1","737","Monash University - Croydon"
"21-738-aus-1","738","Knox City - Mitcham"
"21-740-aus-1","740","Vermont East - Mitcham"
"21-742-aus-1","742","Chadstone SC - Ringwood Station"
"21-745-aus-1","745","Knox City SC - Bayswater"
"21-753-aus-1","753","Bayswater - Glen Waverley"
"21-754-aus-1","754","Glen Waverley - Rowville"
"21-755-aus-1","755","Knox City SC - Bayswater"
"21-757-aus-1","757","Scoresby - Knox City SC"
"21-758-aus-1","758","Knoxfield - Knox City SC"
"21-765-aus-1","765","Box Hill - Mitcham"
"21-967-aus-1","967","Croydon Station - Glen Waverley Station"
"22-663-aus-1","663","Belgrave - Lilydale"
"22-688-aus-1","688","Upper Ferntree Gully - Croydon"
"22-693-aus-1","693","Belgrave - Oakleigh"
"22-694-aus-1","694","Mount Dandenong - Belgrave"
"22-695-aus-1","695","Gembrook - Belgrave"
"22-695-F-aus-1","695F","Fountain Gate - Gembrook"
"22-696-aus-1","696","Olinda - Monbulk"
"22-697-aus-1","697","Belgrave South - Belgrave"
"22-699-aus-1","699","Upwey - Belgrave"
"22-742-aus-1","742","Chadstone SC - Ringwood Station"
"23-526-aus-1","526","Reservoir - Coburg"
"23-527-aus-1","527","Gowrie - Northland SC"
"23-548-aus-1","548","Kew - La Trobe University"
"23-549-aus-1","549","Ivanhoe - Northland SC"
"23-550-aus-1","550","Northland SC - La Trobe University"
"23-551-aus-1","551","Heidelberg - La Trobe University"
"23-951-aus-1","951","Glenroy Station - Brunswick Station"
"23-953-aus-1","953","Craigieburn - Broadmeadows Station"
"23-959-aus-1","959","Broadmeadows Station - City (Queen St)"
"24-475-aus-1","475","Sunbury Station - Diggers Rest Station"
"24-481-aus-1","481","Mount Lion - Sunbury Station"
"24-483-aus-1","483","Moonee Ponds - Sunbury"
"24-485-aus-1","485","Wilsons Lane - Sunbury Station"
"24-486-aus-1","486","Rolling Meadows - Sunbury Station"
"24-487-aus-1","487","Killara Heights - Sunbury Station"
"24-488-aus-1","488","Jacksons Hill - Sunbury Station"
"24-489-aus-1","489","Canterbury Hills - Sunbury Station"
"26-627-aus-1","627","Moorabbin Station - Chadstone SC"
"26-631-aus-1","631","Waverley Gardens SC - Southland SC"
"26-705-aus-1","705","Springvale - Mordialloc"
"26-708-aus-1","708","Carrum Station - Hampton Station"
"26-709-aus-1","709","Noble Park Station - Mordialloc"
"26-800-aus-1","800","Chadstone SC - Dandenong"
"26-802-aus-1","802","Chadstone SC - Dandenong"
"26-804-aus-1","804","Chadstone SC - Dandenong"
"26-811-aus-1","811","Brighton - Dandenong"
"26-812-aus-1","812","Brighton - Dandenong"
"26-813-aus-1","813","Waverley Gardens SC - Dandenong"
"26-816-aus-1","816","Noble Park Station - Keysborough South"
"26-822-aus-1","822","Sandringham - Chadstone SC"
"26-823-aus-1","823","Southland SC - North Brighton"
"26-824-aus-1","824","Keysborough - Moorabbin"
"26-825-aus-1","825","Southland SC - Moorabbin"
"26-828-aus-1","828","Berwick Station - Hampton Station"
"26-843-aus-1","843","Endeavour Hills - Dandenong Station"
"26-844-aus-1","844","Doveton - Dandenong"
"26-845-aus-1","845","Endeavour Hills - Dandenong Station"
"26-848-aus-1","848","Brandon Park SC - Dandenong"
"26-850-aus-1","850","Glen Waverley - Dandenong"
"26-857-aus-1","857","Chelsea Station - Dandenong Station"
"26-858-aus-1","858","Aspendale Gardens - Edithvale Railway Station"
"26-861-aus-1","861","Endeavour Hills - Dandenong Station"
"26-862-aus-1","862","Chadstone SC - Dandenong"
"26-863-aus-1","863","Cranbourne West - Endeavour Hills SC"
"26-885-aus-1","885","Springvale - Glen Waverley"
"27-786-aus-1","786","St Andrews Beach - Rye"
"27-787-aus-1","787","Sorrento - Rosebud"
"27-788-aus-1","788","Portsea - Frankston"
"27-887-aus-1","887","Rosebud - Frankston"
"28-760-aus-1","760","Cranbourne Station - Seaford Station"
"28-770-aus-1","770","Karingal - Frankston"
"28-771-aus-1","771","Langwarrin - Frankston"
"28-772-aus-1","772","Eliza Heights - Frankston"
"28-773-aus-1","773","Frankston South - Frankston"
"28-774-aus-1","774","Delacombe Park - Frankston"
"28-775-aus-1","775","Lakewood - Frankston"
"28-776-aus-1","776","Pearcedale - Frankston"
"28-777-aus-1","777","McClelland Drive - Karingal  SC"
"28-778-aus-1","778","Carrum Downs - Kananook Station"
"28-779-aus-1","779","Belvedere - Frankston"
"28-780-aus-1","780","Carrum Station - Frankston Station"
"28-781-aus-1","781","Dromana - Frankston"
"28-782-aus-1","782","Flinders - Frankston"
"28-783-aus-1","783","Hastings - Frankston"
"28-784-aus-1","784","Mornington - Frankston"
"28-785-aus-1","785","Mornington - Frankston Station"
"28-832-aus-1","832","Carrum Downs - Frankston"
"28-833-aus-1","833","Carrum Station - Frankston Station"
"29-663-aus-1","663","Belgrave - Lilydale"
"29-664-aus-1","664","Chirnside Park SC - Knox City SC"
"29-670-aus-1","670","Lilydale - Ringwood"
"29-671-aus-1","671","Chirnside Park SC - Croydon"
"29-672-aus-1","672","Chirnside Park SC - Croydon"
"29-675-aus-1","675","Chirnside Park SC - Mooroolbark"
"29-677-aus-1","677","Chirnside Park SC - Lilydale"
"29-679-aus-1","679","Chirnside Park SC - Ringwood"
"29-680-aus-1","680","Mooroolbark - Lilydale"
"29-681-aus-1","681","Belgrave - Lilydale"
"29-682-aus-1","682","Carrum Station - Hampton Station"
"29-688-aus-1","688","Upper Ferntree Gully - Croydon"
"29-689-aus-1","689","Montrose - Croydon Station"
"29-690-aus-1","690","Boronia - Croydon"
"29-693-aus-1","693","Belgrave - Oakleigh"
"29-694-aus-1","694","Mount Dandenong - Belgrave"
"29-695-aus-1","695","Gembrook - Belgrave"
"29-695-F-aus-1","695F","Fountain Gate - Gembrook"
"29-697-aus-1","697","Belgrave South - Belgrave"
"29-699-aus-1","699","Upwey - Belgrave"
"29-732-aus-1","732","Upper Ferntree Gully - Box Hill Station"
